Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,0.10,0.19,0.93,0,0.00,1.56,1.59,1.70,0.02,4.98,1.36,0,12.43
2001,1.24,0.46,0.88,0.84,0.24,0.54,1.09,0.85,0.33,0.69,0.05,0.60,7.81
2002,0.34,0.27,0.07,0.00,0.00,0.00,2.47,1.63,1.68,0.50,0.23,0.64,7.83
2003,0.08,1.02,0.51,0.04,0.13,0,2.50,2.04,2.16,0.38,1.03,0.16,10.05
2004,0.79,0.45,1.12,1.05,0,0,0.86,0.95,0.61,0.62,0.44,0.71,7.60
2005,1.35,1.27,0.37,0.33,0.63,0,0.72,4.52,0.05,0.31,0.00,0.Dl,9.57
2006,0,0,0.41,0,0,0.50,5.40,3.01,1.60,0.27,0,0.62,11.81
2007,0.71,0.04,0.59,0.15,0.14,0,5.22,0.90,0.45,0.02,0.80,0.76,9.78
2008,0.17,1.22,0.37,0.05,0.02,0.16,3.42,1.70,0.24,0,0.27,1.00,8.62
2009,0.63,0.56,0.18,0.29,0.67,0.Dl,1.78,0.33,0.74,0.05,0.13,0.30,5.67
2010,2.10,1.89,0.52,0.23,0.02,0.00,2.71,2.04,0.70,0.46,0,0.46,11.13
2011,0,0.25,0.02,0.28,0.00,0.03,1.64,1.35,5.60,0.06,0.97,2.03,12.23
2012,0.14,0.08,0.34,0.12,0,0.34,4.13,1.17,0.38,0,0.03,1.18,7.91
2013,0.81,0.79,0.01,0.12,0.Dl,0.03,2.60,0.48,0.63,0.00,2.22,0.83,8.53
2014,0,0.01,0.58,0.02,0,0.00,1.43,1.89,2.76,1.33,0.00,2.17,10.19
2015,2.54,0.41,0.50,0.16,0.09,0.56,2.08,1.80,2.40,2.25,0.16,0.47,13.42
2016,1.53,0.18,0.11,0.71,0.00,1.59,3.32,1.09,1.60,0.10,0.50,1.08,11.81
2017,1.18,0.20,0.21,0,0.02,0,6.80,1.74,0.03,0.00,0.09,0.50,10.77
2018,0.02,1.96,0,0.00,0,0.91,2.26,2.71,1.14,2.87,"0,07",1.50,13.44
2019,1.09,2.03,0.62,"0,07",1.22,0,1.07,1.57,2.42,0.Dl,2.32,1.20,13.62
2020,0.65,0.67,0.70,"0,07",0.Dl,0.05,0.46,1.16,0.00,0,0.15,0.25,4.17
2021,0.73,0.00,0.31,0,0,0.17,8.06,3.85,0.71,0.01,0.Dl,1.34,15.19
2022,0.28,0.20,0.19,0.00,0.00,0.23,1.08,2.82,0.81,0.53,0,1.27,7.41
2023,1.76,0.59,0.66,0.00,0.53,0.00,2.00,2.39,0.34,0.19,0.28,1.47,10.21
2024,1.77,1.39,1.25,0.88,0.00,NA,NA,NA,NA,NA,NA,NA,NA
